FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,Cancelled
2001-10-01,LGA,ORD,AA,N245A1,301,600,617,717,716,629,708,False
2001-10-01,ORD,LGA,AA,N3AFA1,398,600,607,904,912,623,908,False
2001-10-01,LGA,DFW,AA,N580A1,715,600,625,841,836,639,832,False
2001-10-01,LGA,CVG,DL,-N627D,427,600,557,804,740,613,736,False
2001-10-01,ATL,LGA,DL,-N999D,482,600,604,804,819,614,812,False
2001-10-01,LGA,ATL,DL,-N902D,2017,600,603,820,805,624,800,False
2001-10-01,BOS,LGA,DL,äNKNOæ,2179,600,9999,659,9999,9999,9999,True
2001-10-01,LGA,BOS,DL,äNKNOæ,2180,600,9999,702,9999,9999,9999,True
2001-10-01,LGA,DCA,DL,äNKNOæ,2181,600,9999,703,9999,9999,9999,True
2001-10-01,DCA,LGA,DL,äNKNOæ,2182,600,9999,656,9999,9999,9999,True
2001-10-01,PWM,LGA,MQ,-N711M,4458,600,559,725,702,603,649,False
2001-10-01,LGA,XNA,MQ,-N731M,4475,600,606,805,750,621,746,False
2001-10-01,LGA,MEM,NW,N369Næ,635,600,601,747,723,617,715,False
2001-10-01,ORD,LGA,UA,N7278ä,698,600,600,855,855,616,853,False
2001-10-01,LGA,ORD,UA,N7465ä,699,600,557,709,647,608,644,False
2001-10-01,IAD,LGA,UA,N345ä1,1190,600,600,709,704,611,700,False
2001-10-01,LGA,STL,TW,N9412æ,297,605,604,742,735,615,708,False
2001-10-01,LGA,IAH,CO,N76254,826,608,605,845,823,620,816,False
2001-10-01,LGA,MCO,DL,-N661D,667,610,610,849,843,633,839,False
2001-10-01,RDU,LGA,MQ,-N703M,4478,610,610,750,757,621,738,False
2001-10-01,LGA,DTW,NW,N301äâ,811,610,608,801,745,626,737,False
2001-10-01,LGA,DEN,UA,N570ä1,773,610,606,815,811,627,739,False
2001-10-01,BNA,LGA,AA,N527A1,1088,615,615,934,927,627,924,False
2001-10-01,LGA,DFW,DL,-N643D,527,615,625,903,846,641,834,False
2001-10-01,ORF,LGA,US,N397äâ,584,615,618,737,740,630,735,False
2001-10-01,PVD,LGA,MQ,äNKNOæ,4446,620,9999,730,9999,9999,9999,True
2001-10-01,LGA,MSP,NW,N531äâ,719,620,615,818,752,636,747,False
2001-10-01,LGA,MIA,AA,N5DBA1,1731,630,640,933,926,650,921,False
2001-10-01,LGA,CLE,CO,N14628,1251,630,627,811,749,643,744,False
2001-10-01,ATL,LGA,DL,-N940D,1270,630,629,839,846,642,835,False
2001-10-01,DCA,LGA,DL,äNKNOæ,1740,630,9999,732,9999,9999,9999,True
2001-10-01,LGA,DCA,DL,äNKNOæ,1741,630,9999,738,9999,9999,9999,True
2001-10-01,LGA,BOS,DL,N37302,1820,630,629,735,728,646,720,False
2001-10-01,BOS,LGA,DL,N399D1,1821,630,640,743,746,657,740,False
2001-10-01,DTW,LGA,MQ,-N734M,4417,630,629,820,850,645,811,False
2001-10-01,LGA,RDU,MQ,-N701M,4479,630,754,815,912,806,909,False
2001-10-01,RDU,LGA,US,N765äæ,758,630,628,757,757,640,753,False
2001-10-01,LGA,TPA,US,N278Aä,2729,630,627,924,901,641,858,False
2001-10-01,DFW,LGA,AA,N5CPA1,700,633,637,1100,1110,651,1107,False
2001-10-01,RIC,LGA,MQ,äNKNOæ,4464,635,9999,810,9999,9999,9999,True
2001-10-01,LGA,ORF,US,N517Aä,721,635,629,755,736,644,733,False
2001-10-01,MCO,LGA,US,N257Aä,2608,635,633,916,907,646,903,False
2001-10-01,CLE,LGA,MQ,-N724M,4402,640,643,820,810,653,805,False
2001-10-01,LGA,ROC,US,N721äæ,528,640,629,757,746,655,739,False
2001-10-01,GSO,LGA,US,N390äâ,599,640,636,816,811,647,806,False
2001-10-01,JAX,LGA,US,N249äâ,2986,640,656,901,917,708,912,False
2001-10-01,LGA,FLL,DL,-N636D,407,645,646,956,932,704,928,False
2001-10-01,LGA,PIT,US,N172äæ,109,645,644,815,800,702,753,False
2001-10-01,LGA,CLT,US,N730äæ,912,646,645,841,817,659,813,False
2001-10-01,LGA,DFW,AA,N5BãA1,157,655,712,947,938,723,910,False
2001-10-01,FLL,LGA,AA,N466A1,614,655,701,952,954,715,950,False
2001-10-01,PIT,LGA,US,N337äâ,1630,655,802,816,940,825,935,False
2001-10-01,LGA,FLL,AA,N545A1,2015,659,712,1010,1006,729,1003,False
2001-10-01,LGA,ORD,AA,äNKNOæ,305,700,9999,833,9999,9999,9999,True
2001-10-01,ORD,LGA,AA,N210A1,394,700,715,1016,1019,726,1016,False
2001-10-01,MCO,LGA,DL,-N901D,236,700,704,947,952,725,944,False
2001-10-01,LGA,ATL,DL,N3753@,695,700,658,939,900,717,854,False
2001-10-01,CVG,LGA,DL,-N935D,1268,700,700,903,850,713,842,False
2001-10-01,ORD,LGA,UA,N428ä1,696,700,659,1003,1005,717,1002,False
2001-10-01,LGA,ORD,UA,N350ä1,697,700,722,827,826,733,813,False
2001-10-01,LGA,RSW,US,N251Aä,2628,700,706,1016,953,719,951,False
2001-10-01,LGA,BOS,US,N112äæ,6802,700,657,811,755,711,745,False
2001-10-01,BOS,LGA,US,N102äæ,6803,700,728,816,825,739,820,False
2001-10-01,MSP,LGA,NW,N351Næ,502,702,659,1049,1041,717,1035,False
2001-10-01,MIA,LGA,AA,N3CFA1,1246,705,718,1002,958,729,954,False
2001-10-01,LGA,MIA,AA,N5EäA1,671,708,733,1015,1039,801,1030,False
2001-10-01,LGA,PBI,DL,-N991D,259,710,708,1010,950,725,944,False
2001-10-01,BGR,LGA,MQ,-N739M,4400,715,718,900,847,725,828,False
2001-10-01,HOU,LGA,AA,N588A1,1342,720,733,1154,1217,747,1207,False
2001-10-01,LGA,STL,TW,N925ãæ,539,720,716,907,828,731,826,False
2001-10-01,STL,LGA,TW,N978ãæ,468,724,734,1047,1113,747,1109,False
2001-10-01,ORF,LGA,MQ,-N729M,4438,725,721,900,852,729,841,False
2001-10-01,LGA,PHL,US,N109äæ,653,725,719,839,811,737,806,False
2001-10-01,LGA,ORD,AA,N3BAA1,307,730,739,907,853,805,843,False
2001-10-01,LGA,HOU,AA,N255A1,1643,730,753,1032,1013,807,1008,False
2001-10-01,CLE,LGA,CO,N14664,1750,730,724,922,848,735,846,False
2001-10-01,ATL,LGA,DL,N908D5,504,730,727,950,949,740,942,False
2001-10-01,DFW,LGA,DL,-N674D,654,730,729,1200,1153,743,1144,False
2001-10-01,IAD,LGA,DL,N3733é,1742,730,730,836,841,744,837,False
