index,FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,Cancelled
124163,1995-08-13,LGA,ACK,AA,N555AA,1228,0,1555,0,1709,1622,1700,False
124164,1995-08-13,LGA,BNA,AA,N640AA,693,0,727,0,821,735,816,False
124165,1995-08-13,LGA,BNA,AA,N850AA,1323,0,1242,0,1349,1301,1341,False
124166,1995-08-13,LGA,BNA,AA,N878AA,1846,0,1701,0,1814,1725,1809,False
124167,1995-08-13,LGA,DFW,AA,N543AA,25,0,1429,0,1643,1444,1638,False
124168,1995-08-13,LGA,DFW,AA,N470AA,85,0,855,0,1105,908,1059,False
124169,1995-08-13,LGA,DFW,AA,N296AA,255,0,1957,0,2224,2019,2216,False
124170,1995-08-13,LGA,DFW,AA,N232AA,295,0,724,0,945,738,931,False
124171,1995-08-13,LGA,DFW,AA,N276AA,375,0,1829,0,2055,1842,2038,False
124172,1995-08-13,LGA,DFW,AA,N412AA,491,0,1203,0,1422,1218,1413,False
124173,1995-08-13,LGA,DFW,AA,N205AA,749,0,1857,0,2137,1927,2124,False
124174,1995-08-13,LGA,DFW,AA,N548AA,789,0,1125,0,1331,1138,1323,False
124175,1995-08-13,LGA,DFW,AA,N269AA,1287,0,1658,0,1937,1719,1911,False
124176,1995-08-13,LGA,DFW,AA,N463AA,1379,0,620,0,830,630,822,False
124177,1995-08-13,LGA,DFW,AA,N491AA,1403,0,1600,0,1843,1624,1819,False
124178,1995-08-13,LGA,DFW,AA,N475AA,1521,0,925,0,1136,939,1129,False
124179,1995-08-13,LGA,DFW,AA,N218AA,1599,0,827,0,1033,836,1028,False
124180,1995-08-13,LGA,DFW,AA,N522AA,1803,0,1758,0,2031,1825,2020,False
124181,1995-08-13,LGA,DFW,AA,N296AA,2281,0,757,0,1009,810,1003,False
124182,1995-08-13,LGA,DFW,AA,N553AA,2285,0,1330,0,1603,1357,1553,False
124183,1995-08-13,LGA,DFW,AA,N498AA,2295,0,1509,0,1748,1534,1735,False
124184,1995-08-13,BNA,LGA,AA,N505AA,1088,0,821,0,1120,832,1116,False
124185,1995-08-13,BNA,LGA,AA,N5CVAA,1174,0,1908,0,2212,1919,2207,False
124186,1995-08-13,BNA,LGA,AA,N823AA,1192,0,1323,0,1614,1331,1610,False
124187,1995-08-13,DFW,LGA,AA,N548AA,700,0,644,0,1051,656,1048,False
124188,1995-08-13,DFW,LGA,AA,N553AA,708,0,812,0,1238,830,1228,False
124189,1995-08-13,DFW,LGA,AA,N227AA,710,0,1008,0,1420,1019,1416,False
124190,1995-08-13,DFW,LGA,AA,N498AA,712,0,943,0,1406,1005,1402,False
124191,1995-08-13,DFW,LGA,AA,N491AA,716,0,1045,0,1507,1057,1454,False
124192,1995-08-13,DFW,LGA,AA,N269AA,720,0,1144,0,1549,1152,1546,False
124193,1995-08-13,DFW,LGA,AA,N522AA,724,0,1247,0,1705,1258,1654,False
124194,1995-08-13,DFW,LGA,AA,N276AA,726,0,1311,0,1723,1323,1720,False
124195,1995-08-13,DFW,LGA,AA,N205AA,728,0,1344,0,1806,1353,1756,False
124196,1995-08-13,DFW,LGA,AA,N499AA,730,0,1415,0,1832,1429,1825,False
124197,1995-08-13,DFW,LGA,AA,N296AA,732,0,1446,0,1902,1458,1858,False
124198,1995-08-13,DFW,LGA,AA,N470AA,736,0,1545,0,2012,1600,1958,False
124199,1995-08-13,DFW,LGA,AA,UNKNOW,738,0,9999,0,9999,9999,9999,True
124200,1995-08-13,DFW,LGA,AA,N214AA,740,0,1645,0,2104,1655,2055,False
124201,1995-08-13,DFW,LGA,AA,N446AA,742,0,1718,0,2157,1742,2147,False
124202,1995-08-13,DFW,LGA,AA,N573AA,744,0,1753,0,2236,1823,2226,False
124203,1995-08-13,DFW,LGA,AA,N417AA,746,0,1833,0,2248,1847,2242,False
124204,1995-08-13,DFW,LGA,AA,N412AA,748,0,1847,0,2305,1901,2301,False
124205,1995-08-13,DFW,LGA,AA,N491AA,754,0,1930,0,2347,1939,2339,False
124206,1995-08-13,MIA,LGA,AA,N892AA,684,0,949,0,1229,1006,1226,False
124207,1995-08-13,MIA,LGA,AA,N637AA,800,0,1759,0,2056,1821,2051,False
124208,1995-08-13,MIA,LGA,AA,N728AA,816,0,1650,0,1952,1716,1942,False
124209,1995-08-13,MIA,LGA,AA,N505AA,842,0,1555,0,1844,1610,1836,False
124210,1995-08-13,MIA,LGA,AA,N878AA,914,0,1336,0,1629,1357,1623,False
124211,1995-08-13,MIA,LGA,AA,N862AA,968,0,2034,0,2320,2048,2316,False
124212,1995-08-13,MIA,LGA,AA,N244AA,1002,0,1938,0,2237,2003,2234,False
124213,1995-08-13,MIA,LGA,AA,N702AA,1132,0,741,0,1034,801,1024,False
124214,1995-08-13,MIA,LGA,AA,N496AA,1194,0,1123,0,1409,1139,1404,False
124215,1995-08-13,MIA,LGA,AA,N861AA,1244,0,1344,0,1635,1406,1631,False
124216,1995-08-13,MIA,LGA,AA,N543AA,1246,0,824,0,1131,853,1122,False
124217,1995-08-13,MIA,LGA,AA,N709AA,1496,0,2041,0,2324,2057,2320,False
124218,1995-08-13,MIA,LGA,AA,N702AA,2188,0,1509,0,1757,1526,1750,False
124219,1995-08-13,ORD,LGA,AA,N624AA,340,0,2052,0,2350,2109,2347,False
124220,1995-08-13,ORD,LGA,AA,N271AA,342,0,2014,0,2332,2028,2318,False
124221,1995-08-13,ORD,LGA,AA,N529AA,346,0,1905,0,2209,1924,2203,False
124222,1995-08-13,ORD,LGA,AA,N457AA,350,0,1806,0,2135,1827,2124,False
124223,1995-08-13,ORD,LGA,AA,N227AA,354,0,1709,0,2041,1748,2036,False
124224,1995-08-13,ORD,LGA,AA,N473AA,358,0,1600,0,1857,1618,1852,False
124225,1995-08-13,ORD,LGA,AA,N527AA,362,0,1501,0,1752,1514,1745,False
124226,1995-08-13,ORD,LGA,AA,N582AA,366,0,1359,0,1714,1417,1653,False
124227,1995-08-13,ORD,LGA,AA,N547AA,368,0,1339,0,1632,1354,1628,False
124228,1995-08-13,ORD,LGA,AA,N529AA,374,0,1203,0,1504,1217,1451,False
124229,1995-08-13,ORD,LGA,AA,N519AA,378,0,1110,0,1401,1124,1357,False
124230,1995-08-13,ORD,LGA,AA,N207AA,386,0,857,0,1203,918,1148,False
124231,1995-08-13,ORD,LGA,AA,N430AA,394,0,701,0,947,711,944,False
124232,1995-08-13,LGA,MIA,AA,N623AA,411,0,856,0,1147,907,1126,False
124233,1995-08-13,LGA,MIA,AA,N891AA,427,0,658,0,924,711,920,False
124234,1995-08-13,LGA,MIA,AA,N861AA,591,0,1730,0,2019,1754,2012,False
124235,1995-08-13,LGA,MIA,AA,N499AA,803,0,1926,0,2217,1946,2209,False
124236,1995-08-13,LGA,MIA,AA,N702AA,865,0,1113,0,1358,1132,1348,False
124237,1995-08-13,LGA,MIA,AA,N496AA,1041,0,1500,0,1742,1511,1731,False
124238,1995-08-13,LGA,MIA,AA,N505AA,1181,0,1214,0,1456,1232,1451,False
124239,1995-08-13,LGA,MIA,AA,N505AA,1577,0,2013,0,2259,2039,2255,False
124240,1995-08-13,LGA,MIA,AA,N863AA,1637,0,754,0,1024,804,1020,False
124241,1995-08-13,LGA,MIA,AA,N702AA,1723,0,1832,0,2111,1845,2102,False
124242,1995-08-13,LGA,MIA,AA,N873AA,1871,0,956,0,1230,1011,1225,False
124243,1995-08-13,LGA,MIA,AA,N892AA,2127,0,1330,0,1607,1344,1602,False
124244,1995-08-13,LGA,ORD,AA,N207AA,303,0,627,0,733,635,723,False
124245,1995-08-13,LGA,ORD,AA,N619AA,309,0,754,0,914,806,851,False
124246,1995-08-13,LGA,ORD,AA,N519AA,315,0,926,0,1027,935,1018,False
124247,1995-08-13,LGA,ORD,AA,N221AA,317,0,956,0,1121,1018,1102,False
124248,1995-08-13,LGA,ORD,AA,N275AA,321,0,1058,0,1203,1110,1151,False
124249,1995-08-13,LGA,ORD,AA,N430AA,325,0,1200,0,1300,1210,1255,False
124250,1995-08-13,LGA,ORD,AA,N527AA,329,0,1302,0,1414,1317,1408,False
124251,1995-08-13,LGA,ORD,AA,N207AA,333,0,1355,0,1508,1416,1500,False
124252,1995-08-13,LGA,ORD,AA,N227AA,337,0,1503,0,1625,1530,1614,False
124253,1995-08-13,LGA,ORD,AA,N519AA,341,0,1555,0,1714,1619,1707,False
124254,1995-08-13,LGA,ORD,AA,N529AA,345,0,1700,0,1822,1730,1815,False
124255,1995-08-13,LGA,ORD,AA,N547AA,347,0,1728,0,1840,1749,1834,False
124256,1995-08-13,LGA,ORD,AA,N582AA,349,0,1759,0,1916,1817,1909,False
124257,1995-08-13,LGA,ORD,AA,N527AA,353,0,1858,0,2037,1925,2007,False
124258,1995-08-13,LGA,ORD,AA,N473AA,357,0,1955,0,2135,2043,2129,False
124259,1995-08-13,LGA,ORD,AA,N227AA,361,0,2112,0,2225,2126,2217,False
124260,1995-08-13,ORD,LGA,UA,N425UA,126,600,605,854,845,614,842,False
124261,1995-08-13,LGA,CLT,US,N780AU,505,620,622,800,800,632,757,False
124262,1995-08-13,LGA,IAH,CO,N76354,127,620,629,852,839,647,832,False
124263,1995-08-13,CVG,LGA,DL,N900DE,1244,622,741,810,916,749,912,False
124264,1995-08-13,LGA,ATL,DL,N905DL,601,625,9999,835,9999,9999,9999,True
124265,1995-08-13,LGA,CVG,DL,N616DL,1607,625,627,820,817,642,811,False
124266,1995-08-13,LGA,MEM,NW,N204US,989,625,622,805,747,637,738,False
124267,1995-08-13,ATL,LGA,DL,N640DL,2210,630,635,845,847,646,835,False
124268,1995-08-13,LGA,STL,TW,N902TW,29,630,628,803,752,640,747,False
124269,1995-08-13,LGA,MSP,NW,N817EA,561,635,634,831,816,652,807,False
124270,1995-08-13,LGA,ORD,UA,N332UA,699,635,634,748,732,644,728,False
124271,1995-08-13,LGA,DTW,NW,N818EA,1821,645,644,831,825,701,818,False
