FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,Cancelled
2000-08-01,LGA,DFW,AA,N555AA,705,600,600,829,828,613,823,False
2000-08-01,BOS,LGA,DL,N521DA,2179,600,600,659,720,624,710,False
2000-08-01,BOS,LGA,US,N111UW,6801,600,558,708,701,616,657,False
2000-08-01,DCA,LGA,US,N103UW,6848,600,557,659,646,605,640,False
2000-08-01,MSP,LGA,NW,N343NW,512,600,558,937,934,612,925,False
2000-08-01,ORD,LGA,AA,N233AA,398,600,559,903,910,633,904,False
2000-08-01,ORD,LGA,UA,N348UA,698,600,625,859,919,637,915,False
2000-08-01,LGA,ORD,AA,N520AA,301,600,604,710,711,616,704,False
2000-08-01,LGA,ORD,UA,N7287U,699,600,554,711,723,619,712,False
2000-08-01,LGA,ATL,DL,N986DL,2017,600,600,810,805,614,759,False
2000-08-01,LGA,BOS,DL,N414DA,2180,600,559,659,655,608,645,False
2000-08-01,LGA,BOS,US,N105UW,6800,600,557,700,659,610,647,False
2000-08-01,LGA,CVG,DL,N122DL,1297,600,605,800,814,624,808,False
2000-08-01,LGA,DCA,US,N106UW,6849,600,558,659,655,611,651,False
2000-08-01,LGA,DTW,NW,N526US,533,605,604,755,747,621,737,False
2000-08-01,LGA,IAH,CO,N17229,1965,615,618,841,852,635,849,False
2000-08-01,LGA,PHL,US,N963VJ,445,615,615,712,715,632,708,False
2000-08-01,LGA,STL,TW,N9619V,457,619,629,749,804,645,758,False
2000-08-01,BUF,LGA,US,N411US,1953,620,626,732,743,633,735,False
2000-08-01,PIT,LGA,US,N867US,992,620,615,737,728,625,721,False
2000-08-01,LGA,MEM,NW,N345NW,635,620,619,753,757,633,749,False
2000-08-01,LGA,MCO,DL,N684DA,667,625,628,856,857,649,850,False
2000-08-01,ATL,LGA,DL,N653DL,538,630,634,839,830,647,822,False
2000-08-01,BOS,LGA,DL,N496DA,1821,630,630,732,750,653,743,False
2000-08-01,DFW,LGA,AA,N468AA,702,630,730,1052,1130,741,1125,False
2000-08-01,RDU,LGA,US,N859US,758,630,625,757,750,637,743,False
2000-08-01,LGA,MIA,AA,N5BUAA,1731,630,630,924,919,653,914,False
2000-08-01,LGA,MSP,NW,N325US,395,630,629,828,849,655,843,False
2000-08-01,LGA,ORD,AA,N596AA,303,630,631,743,743,652,737,False
2000-08-01,LGA,ROC,US,N437US,528,630,646,740,754,703,749,False
