index,FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Cancelled,Diverted,CancellationCode
2972250,2017-06-26,DEN,LGA,UA,N67812,1479,55,59,629,625,109,607,0,0,0,0,0,False,False,Z
2972251,2017-06-26,DFW,LGA,AA,N3DCAA,2707,130,125,557,550,136,546,0,0,0,0,0,False,False,Z
2972252,2017-06-26,ATL,LGA,WN,N7885A,157,545,542,800,740,557,734,0,0,0,0,0,False,False,Z
2972253,2017-06-26,LGA,IAH,UA,N409UA,657,545,544,816,823,555,816,0,0,0,0,0,False,False,Z
2972254,2017-06-26,ORD,LGA,NK,N602NK,224,551,659,900,953,711,943,53,0,0,0,0,False,False,Z
2972255,2017-06-26,LGA,MIA,AA,N3CMAA,1399,559,555,905,905,616,859,0,0,0,0,0,False,False,Z
2972256,2017-06-26,LGA,DCA,AA,N957AA,2115,559,602,708,704,614,700,0,0,0,0,0,False,False,Z
2972257,2017-06-26,DTW,LGA,NK,N604NK,316,600,551,738,719,600,711,0,0,0,0,0,False,False,Z
2972258,2017-06-26,ATL,LGA,DL,N389DA,921,600,556,816,758,615,751,0,0,0,0,0,False,False,Z
2972259,2017-06-26,LGA,DTW,DL,N338NW,964,600,622,755,820,653,812,22,0,3,0,0,False,False,Z
2972260,2017-06-26,LGA,ATL,DL,N364NW,1447,600,550,821,810,609,803,0,0,0,0,0,False,False,Z
2972261,2017-06-26,LGA,BOS,DL,N928AT,2672,600,558,715,654,613,649,0,0,0,0,0,False,False,Z
2972262,2017-06-26,LGA,MDW,WN,N903WN,1177,600,555,720,703,604,657,0,0,0,0,0,False,False,Z
2972263,2017-06-26,MDW,LGA,WN,N7746C,1934,600,555,905,843,607,837,0,0,0,0,0,False,False,Z
2972264,2017-06-26,TPA,LGA,WN,N734SA,1269,600,555,840,817,606,809,0,0,0,0,0,False,False,Z
2972265,2017-06-26,LGA,DFW,AA,N998AA,125,600,602,842,848,622,835,0,0,0,0,0,False,False,Z
2972266,2017-06-26,CLT,LGA,AA,N709AA,2060,600,718,749,923,736,852,78,0,16,0,0,False,False,Z
2972267,2017-06-26,LGA,BOS,AA,N963AA,2126,600,554,705,641,603,636,0,0,0,0,0,False,False,Z
2972268,2017-06-26,LGA,ORD,UA,N37465,761,600,707,729,832,731,827,63,0,0,0,0,False,False,Z
2972269,2017-06-26,ORD,LGA,UA,N458UA,1187,600,556,909,901,621,857,0,0,0,0,0,False,False,Z
2972270,2017-06-26,STL,LGA,EV,N759EV,5153,600,553,931,925,607,909,0,0,0,0,0,False,False,Z
2972271,2017-06-26,GRR,LGA,EV,N716EV,5159,600,555,754,801,613,740,0,0,0,0,0,False,False,Z
2972272,2017-06-26,MCI,LGA,EV,N722EV,5294,600,559,1000,955,617,930,0,0,0,0,0,False,False,Z
2972273,2017-06-26,OMA,LGA,EV,N750EV,5401,600,556,1000,931,606,920,0,0,0,0,0,False,False,Z
2972274,2017-06-26,GSO,LGA,EV,N723EV,5421,600,551,739,720,609,713,0,0,0,0,0,False,False,Z
2972275,2017-06-26,CMH,LGA,EV,N710EV,5573,600,554,744,721,604,714,0,0,0,0,0,False,False,Z
2972276,2017-06-26,FLL,LGA,B6,N506JB,272,600,626,856,909,638,856,0,0,0,0,0,False,False,Z
2972277,2017-06-26,LGA,FLL,B6,N216JB,371,600,552,857,847,602,842,0,0,0,0,0,False,False,Z
2972278,2017-06-26,MCO,LGA,B6,N589JB,198,601,553,837,814,605,803,0,0,0,0,0,False,False,Z
2972279,2017-06-26,PIT,LGA,EV,N730EV,5218,602,549,730,701,603,654,0,0,0,0,0,False,False,Z
2972280,2017-06-26,LGA,MSP,DL,N367NW,1919,605,601,759,748,617,744,0,0,0,0,0,False,False,Z
2972281,2017-06-26,LGA,DAL,WN,N789SW,1930,605,601,840,851,618,846,0,0,0,0,0,False,False,Z
2972282,2017-06-26,MKE,LGA,WN,N220WN,1761,605,604,910,901,618,853,0,0,0,0,0,False,False,Z
2972283,2017-06-26,BHM,LGA,EV,N720EV,5265,605,600,937,927,618,912,0,0,0,0,0,False,False,Z
2972284,2017-06-26,MEM,LGA,EV,N758EV,5507,605,601,949,929,624,921,0,0,0,0,0,False,False,Z
2972285,2017-06-26,ATL,LGA,F9,N947FR,1462,610,607,830,807,623,759,0,0,0,0,0,False,False,Z
2972286,2017-06-26,DAL,LGA,WN,N918WN,1894,610,610,1035,1016,626,1009,0,0,0,0,0,False,False,Z
2972287,2017-06-26,LGA,MCO,AA,N3AWAA,129,610,610,854,900,628,850,0,0,0,0,0,False,False,Z
2972288,2017-06-26,MCO,LGA,DL,N326NB,2276,615,609,856,850,620,817,0,0,0,0,0,False,False,Z
2972289,2017-06-26,LGA,CLT,AA,N536AA,600,615,612,810,804,626,754,0,0,0,0,0,False,False,Z
2972290,2017-06-26,SAV,LGA,EV,N760EV,5609,615,610,829,1222,621,1217,9999,9999,9999,9999,9999,False,True,Z
2972291,2017-06-26,LGA,HOU,WN,N7827A,2065,620,620,900,906,637,900,0,0,0,0,0,False,False,Z
2972292,2017-06-26,LGA,DEN,UA,N14228,1561,620,618,833,820,632,815,0,0,0,0,0,False,False,Z
2972293,2017-06-26,CLE,LGA,EV,N13979,4225,620,614,800,741,627,734,0,0,0,0,0,False,False,Z
2972294,2017-06-26,RIC,LGA,EV,N738EV,5138,620,619,745,740,637,720,0,0,0,0,0,False,False,Z
2972295,2017-06-26,LGA,PHL,AA,N955AA,1841,629,642,736,741,703,739,0,0,0,0,0,False,False,Z
2972296,2017-06-26,LGA,FLL,NK,N657NK,705,630,625,923,914,635,908,0,0,0,0,0,False,False,Z
2972297,2017-06-26,BOS,LGA,DL,N955AT,2674,630,629,755,742,655,732,0,0,0,0,0,False,False,Z
2972298,2017-06-26,LGA,ATL,WN,N717SA,2034,630,629,855,911,657,858,0,0,16,0,0,False,False,Z
2972299,2017-06-26,LGA,ORD,AA,N3LSAA,304,630,625,810,802,652,745,0,0,0,0,0,False,False,Z
2972300,2017-06-26,ORD,LGA,AA,N3MGAA,314,630,624,935,915,634,911,0,0,0,0,0,False,False,Z
2972301,2017-06-26,BOS,LGA,AA,N950AA,2165,630,627,753,728,643,722,0,0,0,0,0,False,False,Z
2972302,2017-06-26,LGA,CLT,EV,N751EV,5328,630,628,836,829,642,823,0,0,0,0,0,False,False,Z
2972303,2017-06-26,LGA,BOS,B6,N283JB,1432,630,617,749,719,633,706,0,0,0,0,0,False,False,Z
2972304,2017-06-26,DFW,LGA,AA,N888AA,1150,635,633,1101,1028,644,1023,0,0,0,0,0,False,False,Z
2972305,2017-06-26,LGA,CLE,EV,N740EV,5512,640,637,828,827,704,822,0,0,0,0,0,False,False,Z
2972306,2017-06-26,BOS,LGA,B6,N334JB,631,640,633,805,745,657,736,0,0,0,0,0,False,False,Z
2972307,2017-06-26,ATL,LGA,DL,N836DN,886,645,641,859,839,652,824,0,0,0,0,0,False,False,Z
2972308,2017-06-26,BNA,LGA,WN,N7717D,355,645,642,955,949,652,929,0,0,0,0,0,False,False,Z
2972309,2017-06-26,CLE,LGA,EV,N755EV,5224,646,643,829,837,705,808,0,0,0,0,0,False,False,Z
2972310,2017-06-26,DAL,LGA,VX,N521VA,762,650,643,1124,1040,654,1034,0,0,0,0,0,False,False,Z
2972311,2017-06-26,ORD,LGA,UA,N474UA,694,650,653,959,946,705,939,0,0,0,0,0,False,False,Z
2972312,2017-06-26,LGA,MIA,AA,N3DCAA,2266,659,655,1010,1009,720,1003,0,0,0,0,0,False,False,Z
2972313,2017-06-26,DCA,LGA,AA,N959AA,2144,659,704,817,824,736,816,0,0,0,0,0,False,False,Z
2972314,2017-06-26,LGA,DAL,VX,N523VA,763,700,651,935,925,706,920,0,0,0,0,0,False,False,Z
2972315,2017-06-26,LGA,ATL,DL,N329NW,904,700,656,924,924,721,917,0,0,0,0,0,False,False,Z
2972316,2017-06-26,FLL,LGA,DL,N322NB,1428,700,654,1005,932,708,923,0,0,0,0,0,False,False,Z
2972317,2017-06-26,LGA,MCO,DL,N322US,2285,700,701,947,941,725,937,0,0,0,0,0,False,False,Z
2972318,2017-06-26,PBI,LGA,DL,N338NB,2395,700,655,953,954,718,937,0,0,0,0,0,False,False,Z
2972319,2017-06-26,LGA,BOS,AA,N953AA,2152,700,654,810,751,713,748,0,0,0,0,0,False,False,Z
2972320,2017-06-26,LGA,DFW,AA,N932AA,2177,700,657,949,949,718,935,0,0,0,0,0,False,False,Z
