FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Cancelled,Diverted,CancellationCode
2009-09-01,CMH,LGA,MQ,N804MQ,4863,540,539,715,711,552,703,0,0,0,0,0,False,False,Z
2009-09-01,LGA,IAH,CO,N36207,633,550,545,828,825,557,814,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,AA,N5EJAA,398,600,557,910,907,618,901,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MIA,AA,N5DBAA,2255,600,555,905,859,614,849,0,0,0,0,0,False,False,Z
2009-09-01,FLL,LGA,B6,N639JB,370,600,555,848,846,622,837,0,0,0,0,0,False,False,Z
2009-09-01,LGA,FLL,B6,N565JB,371,600,559,848,852,620,848,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ATL,DL,N674DL,1769,600,554,829,816,610,806,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ATL,FL,N947AT,359,600,552,815,808,603,801,0,0,0,0,0,False,False,Z
2009-09-01,RDU,LGA,MQ,N853MQ,4751,600,556,735,715,610,710,0,0,0,0,0,False,False,Z
2009-09-01,DTW,LGA,MQ,N835MQ,4877,600,558,745,731,612,728,0,0,0,0,0,False,False,Z
2009-09-01,IND,LGA,OH,N430CA,5082,600,600,809,815,619,810,0,0,0,0,0,False,False,Z
2009-09-01,CHS,LGA,OH,N929CA,6558,600,555,807,735,608,725,0,0,0,0,0,False,False,Z
2009-09-01,LGA,CVG,OH,N676CA,6599,600,555,815,805,623,754,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,UA,N824UA,668,600,554,909,851,607,847,0,0,0,0,0,False,False,Z
2009-09-01,DCA,LGA,US,N757UW,2158,600,555,657,649,607,644,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,US,N716UW,2115,600,552,704,657,604,652,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,US,N769US,2114,600,556,703,649,608,639,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DCA,US,N742PS,2161,600,552,659,648,605,643,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ORD,UA,N511UA,667,602,601,720,727,623,714,0,0,0,0,0,False,False,Z
2009-09-01,RDU,LGA,OH,N589SW,6628,604,554,745,725,603,706,0,0,0,0,0,False,False,Z
2009-09-01,DFW,LGA,AA,N3BAAA,700,605,559,1029,1019,614,1008,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DFW,AA,N599AA,701,605,601,850,830,618,825,0,0,0,0,0,False,False,Z
2009-09-01,LGA,RDU,MQ,N806MQ,4724,605,606,740,734,625,731,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,MQ,N855MQ,4814,605,600,719,711,612,701,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MSP,NW,N338NW,197,610,602,812,744,621,738,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ORD,AA,N5BSAA,301,615,931,735,1036,947,1031,181,0,0,0,0,False,False,Z
2009-09-01,LGA,MDW,WN,N472WN,1581,615,612,735,719,632,715,0,0,0,0,0,False,False,Z
2009-09-01,MCI,LGA,OH,N691CA,6550,620,610,1017,1015,633,957,0,0,0,0,0,False,False,Z
2009-09-01,IAH,LGA,CO,N16709,1032,627,634,1059,1054,648,1047,0,0,0,0,0,False,False,Z
2009-09-01,LGA,RDU,OH,N814CA,6659,629,629,815,813,652,803,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,DL,N910DE,1370,630,629,739,724,646,716,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,DL,N903DE,1373,630,9999,746,9999,9999,9999,9999,9999,9999,9999,9999,True,False,A
2009-09-01,LGA,MKE,FL,N309AT,217,630,627,743,721,636,715,0,0,0,0,0,False,False,Z
2009-09-01,CLE,LGA,MQ,N724MQ,4886,630,622,805,807,632,750,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MEM,NW,N359NW,505,630,622,818,803,643,758,0,0,0,0,0,False,False,Z
2009-09-01,LGA,CLT,US,N191UW,1455,630,623,824,808,633,803,0,0,0,0,0,False,False,Z
2009-09-01,MIA,LGA,AA,N625AA,1114,635,631,930,902,640,859,0,0,0,0,0,False,False,Z
2009-09-01,ATL,LGA,DL,N602DL,1766,640,641,854,845,659,835,0,0,0,0,0,False,False,Z
2009-09-01,CAK,LGA,FL,N997AT,201,640,639,809,750,646,746,0,0,0,0,0,False,False,Z
2009-09-01,CRW,LGA,MQ,N711MQ,4831,640,630,820,755,639,748,0,0,0,0,0,False,False,Z
2009-09-01,STL,LGA,AA,N524AA,840,645,642,1010,1006,651,954,0,0,0,0,0,False,False,Z
2009-09-01,MKE,LGA,FL,N896AT,508,645,639,1000,940,649,936,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,MQ,N730MQ,4803,645,636,750,740,658,733,0,0,0,0,0,False,False,Z
2009-09-01,XNA,LGA,MQ,N737MQ,4912,645,639,1055,1028,651,1019,0,0,0,0,0,False,False,Z
2009-09-01,LGA,IAH,CO,N79279,333,659,657,942,942,716,935,0,0,0,0,0,False,False,Z
2009-09-01,LGA,XNA,MQ,N734MQ,4834,659,658,920,904,720,901,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,UA,N417UA,670,659,653,1008,954,703,946,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ORD,AA,N579AA,303,700,653,825,811,712,806,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,AA,N423AA,394,700,655,1010,955,705,950,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ATL,DL,N627DL,1771,700,657,929,938,734,929,0,0,0,0,0,False,False,Z
2009-09-01,CAE,LGA,OH,N685BR,6464,700,700,903,854,723,845,0,0,0,0,0,False,False,Z
2009-09-01,CVG,LGA,OH,N937CA,6712,700,748,909,944,801,938,35,0,0,0,0,False,False,Z
2009-09-01,DCA,LGA,US,N750UW,2160,700,701,825,803,717,756,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,US,N751UW,2117,700,653,816,805,708,759,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,US,N747UW,2116,700,656,803,753,715,747,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DCA,US,N756US,2163,700,652,806,758,711,750,0,0,0,0,0,False,False,Z
2009-09-01,MDW,LGA,WN,N713SW,3397,700,657,1010,953,705,948,0,0,0,0,0,False,False,Z
2009-09-01,RDU,LGA,MQ,N800MQ,4727,705,700,835,834,720,818,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MCI,OH,N549CA,6577,705,700,920,910,731,903,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DFW,AA,N532AA,707,710,703,1000,943,725,934,0,0,0,0,0,False,False,Z
2009-09-01,LGA,FLL,DL,N946DL,1583,712,701,1010,1008,729,1004,0,0,0,0,0,False,False,Z
2009-09-01,DFW,LGA,AA,N561AA,704,715,706,1140,1114,718,1109,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ATL,FL,N951AT,340,715,705,935,933,727,921,0,0,0,0,0,False,False,Z
2009-09-01,MSP,LGA,NW,N346NB,468,715,708,1100,1055,730,1046,0,0,0,0,0,False,False,Z
2009-09-01,FLL,LGA,DL,N948DL,1410,720,719,1025,958,729,953,0,0,0,0,0,False,False,Z
2009-09-01,DTW,LGA,NW,N332NW,544,720,714,906,856,733,850,0,0,0,0,0,False,False,Z
2009-09-01,LGA,PBI,NW,N330NB,1303,720,713,1008,1017,737,1011,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MCO,DL,N941DL,1515,725,719,1007,1002,740,955,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MCO,B6,N648JB,393,730,728,1008,1015,742,1003,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,DL,N943DL,1372,730,730,839,823,743,814,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,DL,N979DL,1375,730,730,844,831,743,825,0,0,0,0,0,False,False,Z
2009-09-01,LGA,TPA,NW,N316NB,477,730,730,1016,1015,749,1011,0,0,0,0,0,False,False,Z
2009-09-01,MSY,LGA,NW,N369NB,1172,730,721,1127,1113,736,1100,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,US,N748UW,2197,730,725,851,826,735,820,0,0,0,0,0,False,False,Z
2009-09-01,CLE,LGA,XE,N48901,3011,730,727,917,850,735,845,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DEN,UA,N588UA,361,732,728,950,920,747,913,0,0,0,0,0,False,False,Z
2009-09-01,BNA,LGA,AA,N481AA,1088,735,725,1045,1038,739,1028,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ORD,AA,N4YDAA,305,740,730,910,901,758,855,0,0,0,0,0,False,False,Z
2009-09-01,ATL,LGA,DL,N696DL,1770,740,740,1005,935,750,927,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,AA,N497AA,392,745,743,1100,1041,755,1035,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,MQ,N716MQ,4870,745,738,900,857,803,851,0,0,0,0,0,False,False,Z
2009-09-01,IAH,LGA,CO,N16617,332,750,750,1229,1239,816,1231,0,0,0,0,0,False,False,Z
2009-09-01,LGA,CVG,OH,N597SW,6380,750,750,1001,956,822,954,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MIA,AA,N611AA,413,755,753,1110,1107,815,1056,0,0,0,0,0,False,False,Z
2009-09-01,CMH,LGA,MQ,N823MQ,4835,755,9999,945,9999,9999,9999,9999,9999,9999,9999,9999,True,False,C
2009-09-01,CLT,LGA,US,N714US,1050,755,748,950,929,808,924,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,UA,N461UA,672,757,753,1106,1057,805,1049,0,0,0,0,0,False,False,Z
2009-09-01,LGA,RDU,MQ,N855MQ,4739,759,752,945,930,813,923,0,0,0,0,0,False,False,Z
2009-09-01,LGA,MSP,NW,N301NB,525,759,801,1003,951,822,942,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ATL,DL,N682DA,1773,800,756,1039,1036,831,1024,0,0,0,0,0,False,False,Z
2009-09-01,DCA,LGA,US,N742PS,2162,800,753,911,925,828,919,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,US,N769US,2119,800,756,910,914,823,909,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,US,N716UW,2118,800,754,903,850,811,844,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DCA,US,N757UW,2165,800,753,906,853,810,850,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ORD,AA,N574AA,309,805,758,935,909,817,904,0,0,0,0,0,False,False,Z
2009-09-01,DFW,LGA,AA,N517AA,708,805,800,1229,1211,814,1208,0,0,0,0,0,False,False,Z
2009-09-01,LGA,DFW,AA,N420AA,709,805,804,1100,1045,826,1036,0,0,0,0,0,False,False,Z
2009-09-01,MIA,LGA,AA,N3AEAA,1256,805,759,1105,1035,809,1029,0,0,0,0,0,False,False,Z
2009-09-01,PHF,LGA,FL,N958AT,642,805,800,922,916,815,910,0,0,0,0,0,False,False,Z
2009-09-01,RDU,LGA,MQ,N806MQ,4728,805,802,945,945,812,920,0,0,0,0,0,False,False,Z
2009-09-01,RDU,LGA,OH,N967CA,6624,805,805,946,950,825,940,0,0,0,0,0,False,False,Z
2009-09-01,DEN,LGA,UA,N501UA,358,805,803,1355,1343,817,1340,0,0,0,0,0,False,False,Z
2009-09-01,LGA,ORD,UA,N561UA,835,805,755,938,905,808,856,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BWI,WN,N479WN,2103,805,804,920,909,824,904,0,0,0,0,0,False,False,Z
2009-09-01,IND,LGA,9E,88699E,3985,810,806,1030,1012,823,1001,0,0,0,0,0,False,False,Z
2009-09-01,LGA,CLT,US,N182UW,1021,810,800,1006,1001,828,956,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,MQ,N853MQ,4802,815,806,920,908,827,859,0,0,0,0,0,False,False,Z
2009-09-01,LGA,STL,AA,N459AA,1855,820,816,1005,945,834,941,0,0,0,0,0,False,False,Z
2009-09-01,CLE,LGA,CO,N24706,1575,820,824,952,948,833,943,0,0,0,0,0,False,False,Z
2009-09-01,ATL,LGA,FL,N944AT,360,825,824,1039,1018,834,1010,0,0,0,0,0,False,False,Z
2009-09-01,MEM,LGA,NW,N358NW,506,826,829,1215,1213,854,1206,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BOS,DL,N927DA,1374,830,829,952,932,851,922,0,0,0,0,0,False,False,Z
2009-09-01,BOS,LGA,DL,N910DE,1377,830,826,945,943,847,937,0,0,0,0,0,False,False,Z
2009-09-01,LGA,BNA,MQ,N835MQ,4882,830,822,1005,934,836,930,0,0,0,0,0,False,False,Z
2009-09-01,LGA,IND,OH,N589SW,5083,830,830,1058,1047,900,1043,0,0,0,0,0,False,False,Z
2009-09-01,ATL,LGA,DL,N608DA,1772,840,903,1103,1113,925,1103,0,0,0,0,0,False,False,Z
2009-09-01,DTW,LGA,NW,N358NB,540,840,837,1026,1022,855,1014,0,0,0,0,0,False,False,Z
2009-09-01,CVG,LGA,OH,N548CA,6368,840,840,1046,1040,857,1028,0,0,0,0,0,False,False,Z
2009-09-01,ORD,LGA,AA,N227AA,386,845,841,1200,1133,853,1129,0,0,0,0,0,False,False,Z
