FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Cancelled,CancellationCode,Diverted,DivReachedDest,DivAirportLandings
2019-12-13,RDU,LGA,AA,N954UW,708,533,532,710,642,542,639,0,0,0,0,0,False,Z,False,,0
2019-12-13,BTV,LGA,9E,N181PQ,5205,534,530,714,647,550,640,0,0,0,0,0,False,Z,False,,0
2019-12-13,SYR,LGA,OO,N277SY,3627,540,535,715,632,544,627,0,0,0,0,0,False,Z,False,,0
2019-12-13,MKE,LGA,WN,N782SA,2077,540,535,900,823,540,817,0,0,0,0,0,False,Z,False,,0
2019-12-13,LGA,PHL,AA,N967UW,1934,545,539,650,637,550,630,0,0,0,0,0,False,Z,False,,0
2019-12-13,ROC,LGA,YX,N210JQ,6131,545,541,719,653,554,645,0,0,0,0,0,False,Z,False,,0
2019-12-13,MHT,LGA,9E,N833AY,5020,550,544,710,657,558,653,0,0,0,0,0,False,Z,False,,0
2019-12-13,LGA,IAH,UA,N459UA,657,550,548,854,839,559,832,0,0,0,0,0,False,Z,False,,0
2019-12-13,ORD,LGA,NK,N904NK,224,551,546,900,843,557,833,0,0,0,0,0,False,Z,False,,0
2019-12-13,RIC,LGA,YX,N133HQ,4485,557,556,719,657,607,651,0,0,0,0,0,False,Z,False,,0
2019-12-13,CLT,LGA,AA,N804AW,1746,558,552,750,721,604,718,0,0,0,0,0,False,Z,False,,0
2019-12-13,LGA,DFW,AA,N952NN,1597,559,553,906,849,607,833,0,0,0,0,0,False,Z,False,,0
2019-12-13,DCA,LGA,AA,N961UW,2115,600,552,716,654,605,643,0,0,0,0,0,False,Z,False,,0
2019-12-13,LGA,BOS,AA,N957UW,2126,600,555,710,655,608,649,0,0,0,0,0,False,Z,False,,0
2019-12-13,BOS,LGA,AA,N965UW,2137,600,552,722,708,605,656,0,0,0,0,0,False,Z,False,,0
2019-12-13,LGA,DCA,AA,N956UW,2153,600,552,715,650,602,648,0,0,0,0,0,False,Z,False,,0
2019-12-13,PIT,LGA,YX,N125HQ,4460,600,554,730,710,607,701,0,0,0,0,0,False,Z,False,,0
2019-12-13,LGA,CMH,YX,N126HQ,4645,600,554,756,753,617,747,0,0,0,0,0,False,Z,False,,0
