FlightDate,Origin,Dest,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,CRSDepTime,DepTime,CRSArrTime,ArrTime,WheelsOff,WheelsOn,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Cancelled,CancellationCode,Diverted,DivReachedDest,DivAirportLandings
2011-12-01,LGA,IAH,CO,N18622,1245,545,559,845,904,631,852,14,0,5,0,0,False,Z,False,,0
2011-12-01,BOS,LGA,DL,N328NB,1371,545,542,659,642,559,637,0,0,0,0,0,False,Z,False,,0
2011-12-01,CLE,LGA,MQ,N738MQ,4529,545,542,730,713,602,708,0,0,0,0,0,False,Z,False,,0
2011-12-01,ORD,LGA,AA,N583AA,398,600,600,900,859,616,856,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,MIA,AA,N5CAAA,1895,600,558,915,849,616,840,0,0,0,0,0,False,Z,False,,0
2011-12-01,FLL,LGA,B6,N586JB,370,600,549,842,833,600,823,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,FLL,B6,N585JB,371,600,557,857,902,634,855,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,DTW,DL,N338NB,831,600,558,801,755,620,745,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ATL,DL,N603DL,1447,600,601,841,817,626,802,0,0,0,0,0,False,Z,False,,0
2011-12-01,ORD,LGA,UA,N819UA,668,600,557,901,855,611,852,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ORD,UA,N439UA,852,600,553,726,707,606,657,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,PHL,US,N952UW,1267,600,552,656,646,612,641,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,BOS,US,N755US,2114,600,552,701,648,610,642,0,0,0,0,0,False,Z,False,,0
2011-12-01,BOS,LGA,US,N949UW,2115,600,557,711,659,614,653,0,0,0,0,0,False,Z,False,,0
2011-12-01,DCA,LGA,US,N769US,2158,600,553,700,701,610,655,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,DCA,US,N751UW,2161,600,554,704,647,607,645,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,MDW,WN,N786SW,625,600,600,730,719,622,713,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ATL,FL,N933AT,359,600,556,815,749,609,744,0,0,0,0,0,False,Z,False,,0
2011-12-01,RDU,LGA,MQ,N733MQ,4455,600,553,735,723,607,718,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,RDU,MQ,N723MQ,4518,600,554,740,731,623,726,0,0,0,0,0,False,Z,False,,0
2011-12-01,DTW,LGA,MQ,N716MQ,4570,600,556,750,722,604,719,0,0,0,0,0,False,Z,False,,0
2011-12-01,CMH,LGA,MQ,N514MQ,4643,600,555,745,732,621,729,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ATL,MQ,N512MQ,4650,600,551,825,745,602,739,0,0,0,0,0,False,Z,False,,0
2011-12-01,BNA,LGA,MQ,N528MQ,4667,600,556,910,949,656,946,0,0,39,0,0,False,Z,False,,0
2011-12-01,LGA,DFW,AA,N3HHAA,705,605,602,910,847,629,842,0,0,0,0,0,False,Z,False,,0
2011-12-01,MDW,LGA,WN,N271LV,368,605,612,930,907,619,858,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,CLT,MQ,N515MQ,4576,605,558,805,732,613,725,0,0,0,0,0,False,Z,False,,0
2011-12-01,CLT,LGA,MQ,N539MQ,4581,605,601,759,816,652,812,0,0,17,0,0,False,Z,False,,0
2011-12-01,LGA,MSP,MQ,N542MQ,4599,605,556,805,804,618,757,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ORD,AA,N454AA,301,610,610,755,736,633,729,0,0,0,0,0,False,Z,False,,0
2011-12-01,MIA,LGA,AA,N5FEAA,1114,610,600,855,851,618,847,0,0,0,0,0,False,Z,False,,0
2011-12-01,DFW,LGA,AA,N584AA,700,615,607,1030,1013,620,1010,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,CLE,XE,N14570,4172,615,607,801,754,639,748,0,0,0,0,0,False,Z,False,,0
2011-12-01,CLT,LGA,US,N750UW,1626,615,617,801,807,641,802,0,0,0,0,0,False,Z,False,,0
2011-12-01,CRW,LGA,MQ,N728MQ,4488,615,800,805,934,818,929,89,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,MSP,DL,N994DL,1919,616,612,830,840,638,834,0,0,0,0,0,False,Z,False,,0
2011-12-01,CAK,LGA,FL,N964AT,715,625,619,749,750,643,747,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,MEM,DL,N366NW,1673,629,625,831,803,642,757,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,FLL,DL,N351NW,1879,629,627,932,911,648,906,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,IAH,CO,N27733,1550,630,633,931,925,651,905,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,BOS,DL,N301NB,1370,630,629,736,729,647,720,0,0,0,0,0,False,Z,False,,0
2011-12-01,BOS,LGA,DL,N370NB,1373,630,627,748,742,651,735,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,CLT,US,N180US,1485,630,623,839,818,643,814,0,0,0,0,0,False,Z,False,,0
2011-12-01,MSP,LGA,MQ,N505MQ,4590,630,626,1015,1013,705,1008,0,0,0,0,0,False,Z,False,,0
2011-12-01,ATL,LGA,MQ,N534MQ,4652,635,628,845,849,652,839,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ORD,AA,N619AA,303,640,637,820,804,655,752,0,0,0,0,0,False,Z,False,,0
2011-12-01,ATL,LGA,DL,N650DL,1486,640,640,853,857,701,850,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,MKE,FL,N126AT,504,640,632,755,745,649,740,0,0,0,0,0,False,Z,False,,0
2011-12-01,XNA,LGA,MQ,N725MQ,4512,640,631,1045,1019,647,1016,0,0,0,0,0,False,Z,False,,0
2011-12-01,TPA,LGA,DL,N995DL,2135,645,642,930,928,656,920,0,0,0,0,0,False,Z,False,,0
2011-12-01,MCO,LGA,DL,N965DL,2276,645,638,922,913,652,907,0,0,0,0,0,False,Z,False,,0
2011-12-01,BOS,LGA,US,N945UW,2145,645,639,756,743,700,738,0,0,0,0,0,False,Z,False,,0
2011-12-01,MSP,LGA,DL,N949DL,1996,650,648,1053,1038,728,1030,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,MCO,DL,N317US,2285,650,649,943,922,707,912,0,0,0,0,0,False,Z,False,,0
2011-12-01,ORD,LGA,AA,N4UBAA,394,655,650,959,1006,716,956,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,DFW,AA,N3ELAA,707,659,654,1009,933,711,920,0,0,0,0,0,False,Z,False,,0
2011-12-01,DFW,LGA,AA,N546AA,704,700,658,1120,1123,721,1114,0,0,0,0,0,False,Z,False,,0
2011-12-01,MSY,LGA,DL,N318NB,558,700,657,1055,1055,711,1046,0,0,0,0,0,False,Z,False,,0
2011-12-01,FLL,LGA,DL,N967DL,1498,700,653,956,944,706,936,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ATL,DL,N684DA,1547,700,654,941,906,716,854,0,0,0,0,0,False,Z,False,,0
2011-12-01,PBI,LGA,DL,N916DE,2358,700,653,952,930,705,924,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,ORD,UA,N592UA,373,700,657,829,831,719,815,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,BOS,US,N955UW,2116,700,654,810,752,714,749,0,0,0,0,0,False,Z,False,,0
2011-12-01,BOS,LGA,US,N950UW,2117,700,653,828,801,709,755,0,0,0,0,0,False,Z,False,,0
2011-12-01,DCA,LGA,US,N753US,2160,700,651,824,815,723,810,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,DCA,US,N738US,2163,700,653,809,750,709,748,0,0,0,0,0,False,Z,False,,0
2011-12-01,LGA,XNA,MQ,N739MQ,4534,700,656,940,910,723,908,0,0,0,0,0,False,Z,False,,0
2011-12-01,ORD,LGA,UA,N804UA,536,705,701,1006,952,718,949,0,0,0,0,0,False,Z,False,,0
