,id,iata,icao,description
25,10023,TLK,UECT,"Tikchik Lodge, AK: Tikchik Lodge Airport"
117,10118,AAA,NTGA,"Anaa, French Polynesia: Anaa Airport"
118,10119,AAB,YARY,"Arrabury, Australia: Arrabury Station"
119,10120,AAC,HEAR,"El Arish, Egypt: El Arish International"
120,10121,AAE,DABB,"Annaba, Algeria: Rabah Bitat"
121,10122,AAF,KAAF,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field"
122,10123,AAH,EDKA,"Aachen, Germany: Aachen Merzbrueck"
123,10124,AAI,SWRA,"Arraias, Brazil: Arraias Airport"
124,10125,AAL,EKYT,"Aalborg, Denmark: Aalborg Airport"
125,10126,AAM,FAMD,"Mala Mala, South Africa: Malamala"
126,10127,AAN,OMAL,"Al Ain, United Arab Emirates: Al Ain International"
127,10128,AAO,SVAN,"Anaco, Venezuela: Anaco Airport"
128,10129,AAQ,URKA,"Anapa, Russia: Vityazevo"
129,10130,AAR,EKAH,"Aarhus, Denmark: Aarhus Airport"
130,10131,AAU,NSAU,"Asau, Samoa: Asau W Sam"
131,10134,ABD,OIAA,"Abadan, Iran: Abadan Airport"
132,10135,ABE,KABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
133,10136,ABI,KABI,"Abilene, TX: Abilene Regional"
134,10137,ABJ,DIAP,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International"
135,10138,ABK,HAKD,"Kabri Dar, Ethiopia: Kebri Dahar"
136,10139,ABL,PAFM,"Ambler, AK: Ambler River"
137,10140,ABQ,KABQ,"Albuquerque, NM: Albuquerque International Sunport"
138,10141,ABR,KABR,"Aberdeen, SD: Aberdeen Regional"
139,10142,ABS,HEBL,"Abu Simbel, Egypt: Abu Simbel Airport"
140,10143,ABT,OEBA,"Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz"
141,10144,ABV,DNAA,"Abuja, Nigeria: Nnamdi Azikiwe International"
142,10145,ABX,YMAY,"Albury, Australia: Albury Airport"
143,10146,ABY,KABY,"Albany, GA: Southwest Georgia Regional"
144,10147,ABZ,EGPD,"Aberdeen, United Kingdom: Aberdeen Dyce"
145,10149,ACB,KACB,"Bellaire, MI: Antrim County"
146,10151,ACE,GCRR,"Arrecife, Spain: Lanzarote"
147,10152,ACH,LSZR,"Altenrhein, Switzerland: St Gallen Altenrhein"
148,10153,ACI,EGJA,"Alderney, United Kingdom: Alderney Airport"
149,10154,ACK,KACK,"Nantucket, MA: Nantucket Memorial"
150,10155,ACT,KACT,"Waco, TX: Waco Regional"
152,10157,ACV,KACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
153,10158,ACY,KACY,"Atlantic City, NJ: Atlantic City International"
154,10159,ADA,LTAF,"Adana, Turkey: Adana International"
155,10160,ADB,LTBJ,"Izmir, Turkey: Adnan Menderes"
156,10161,ADC,AYAN,"Andakombe, Papua New Guinea: Andakombe Airport"
157,10162,ADD,HAAB,"Addis Ababa, Ethiopia: Bole International"
158,10163,ADE,OYAA,"Aden, Yemen: Aden International"
159,10164,ADJ,OJAM,"Amman, Jordan: Marka International"
160,10165,ADK,PADK,"Adak Island, AK: Adak"
161,10166,ADL,YPAD,"Adelaide, Australia: Adelaide International"
162,10167,ADM,KADM,"Ardmore, OK: Ardmore Municipal"
163,10168,ADN,SKAN,"Andes, Colombia: Andes Airport"
164,10169,ADO,YAMK,"Andamooka, Australia: Andamooka Airport"
165,10170,ADQ,PADQ,"Kodiak, AK: Kodiak Airport"
166,10171,ADS,KADS,"Dallas, TX: Addison"
167,10172,ADW,KADW,"Camp Springs, MD: Joint Base Andrews"
169,13748,ADW,KADW,"Camp Springs, MD: Joint Base Andrews"
171,10173,ADX,EGQL,"St Andrews, United Kingdom: RAF Leuchars"
172,10174,ADZ,SKSP,"San Andres Island, Colombia: Gustavo Rojas Pinilla"
173,10175,DHF,OMAM,"Al Dhafra, United Arab Emirates: Al Dhafra Air Base"
175,10177,AEG,WIME,"Padang Sidempuan, Indonesia: Aek Godang"
176,10178,AEH,FTTC,"Abeche, Chad: Abeche Airport"
177,10180,AEO,GQNA,"Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
178,10181,AEP,SABE,"Buenos Aires, Argentina: Aeroparque Jorge Newbery"
179,10182,AER,URSS,"Adler/Sochi, Russia: Adler/Sochi Airport"
180,10184,AET,PFAL,"Allakaket, AK: Allakaket Airport"
181,10185,AEX,KAEX,"Alexandria, LA: Alexandria International"
182,10186,AEY,BIAR,"Akureyri, Iceland: Akureyri Airport"
183,10188,AFA,SAMR,"San Rafael, Argentina: San Rafael Airport"
184,10189,AFF,KAFF,"Colorado Springs, CO: USAF Academy Airfield"
186,10191,AFO,KAFO,"Afton, WY: Afton Municipal"
188,10195,AFY,LTAH,"Afyon, Turkey: Afyon Airport"
189,10196,AGA,GMAD,"Agadir, Morocco: Inezgane"
190,10197,AGB,EDMA,"Augsburg, Germany: Augsburg Airport"
191,10198,AGC,KAGC,"Pittsburgh, PA: Allegheny County"
192,10199,AGF,LFBA,"Agen, France: Agen La Garenne"
194,10201,AGH,ESTA,"Angelholm/Helsingborg, Sweden: Angelholm"
196,10203,AGL,AYWG,"Wanigela, Papua New Guinea: Wanigela Airport"
198,10205,AGP,LEMG,"Malaga, Spain: Malaga Airport"
199,10206,AGQ,LGAG,"Agrinion, Greece: Agrinion Airport"
200,10207,AGR,VIAG,"Agra, India: Agra Airport"
201,10208,AGS,KAGS,"Augusta, GA: Augusta Regional at Bush Field"
202,10209,AGT,SGES,"Ciudad del Este, Paraguay: Guarani International"
203,10211,AGV,SVAC,"Acarigua, Venezuela: Oswaldo Guevara Mujica"
204,10212,AGX,VOAT,"Agatti Island, India: Agatti Island Airport"
206,10214,AHB,OEAB,"Abha, Saudi Arabia: Abha Airport"
207,10215,AHD,K1F0,"Ardmore, OK: Ardmore Downtown Executive"
208,10216,AHN,KAHN,"Athens, GA: Athens/Ben Epps"
209,10217,AHO,LIEA,"Alghero/Sassari, Italy: Alghero"
210,10218,AHS,MHAH,"Ahuas, Honduras: Auas"
212,10220,AHU,GMTA,"Al Hoceima, Morocco: Cherif El Idrissi International"
213,10221,AIA,KAIA,"Alliance, NE: Alliance Municipal"
215,10223,AID,KAID,"Anderson, IN: Anderson Municipal-Darlington Field"
216,10225,AIN,PAWI,"Wainwright, AK: Wainwright Airport"
217,10226,AIT,NCAI,"Aitutaki, Cook Islands: Aitutaki Airport"
219,10228,AIZ,KAIZ,"Lake of the Ozarks, MO: Lee C Fine Memorial"
220,10229,AJA,LFKJ,"Ajaccio, France: Ajaccio Napoleon Bonaparte"
221,10230,AJF,OESK,"Jouf, Saudi Arabia: Al Jouf"
222,10231,AJJ,GQNJ,"Akjoujt, Mauritania: Akjoujt Airport"
223,10232,AJL,VELP,"Aizwal, India: Lengpui"
224,10233,AJN,FMCV,"Anjouan, Comoros: Ouani"
225,10234,AJR,ESNX,"Arvidsjaur, Sweden: Arvidsjaur Airport"
226,10236,AJY,DRZA,"Agades, Niger: Mano Dayak"
227,10237,AKB,PAAK,"Atka, AK: Atka Airport"
228,10238,AKC,KAKR,"Akron, OH: Akron Fulton International"
229,10239,AKF,HLKF,"Kufrah, Libya: Kufra"
230,10241,AKI,PFAK,"Akiak, AK: Akiak Airport"
231,10242,AKJ,RJEC,"Asahikawa, Japan: Asahikawa Airport"
232,10243,AKK,PAKH,"Akhiok, AK: Akhiok Airport"
233,10244,AKL,NZAA,"Auckland, New Zealand: Auckland International"
234,10245,AKN,PAKN,"King Salmon, AK: King Salmon Airport"
235,10246,AKO,KAKO,"Akron, CO: Colorado Plains Regional"
236,10247,AKP,PAKP,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
237,10248,AKR,DNAK,"Akure, Nigeria: Akure Airport"
238,10249,AKS,AGGA,"Auki, Solomon Islands: Auki Airport"
239,10250,AKT,LCRA,"Akrotiri, Cyprus: Akrotiri Airport"
240,10251,AKX,UATT,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
241,10252,AKY,VYSW,"Sittwe, Burma: Sittwe Airport"
244,10256,ALA,UAAA,"Almaty, Kazakhstan: Almaty Airport"
245,10257,ALB,KALB,"Albany, NY: Albany International"
246,10259,ALE,KE38,"Alpine, TX: Alpine Casparis Municipal"
247,10260,ALF,ENAT,"Alta, Norway: Alta Airport"
248,10261,ALG,DAAG,"Algiers, Algeria: Houari Boumediene"
249,10262,ALH,YABA,"Albany, Australia: Albany Airport"
250,10263,ALI,KALI,"Alice, TX: Alice International"
251,10264,ALJ,FAAB,"Alexander Bay, South Africa: Alexander Bay Airport"
253,10266,ALM,KALM,"Alamogordo, NM: Alamogordo White Sands Regional"
254,10267,ALN,KALN,"Alton, IL: St. Louis Regional"
255,10268,ALO,KALO,"Waterloo, IA: Waterloo Regional"
256,10269,ALP,OSAP,"Aleppo, Syria: Aleppo International"
257,10270,ALQ,SSLT,"Alegrete, Brazil: Alegrete Airport"
258,10271,ALR,NZLX,"Alexandra, New Zealand: Alexandra Airport"
259,10272,ALS,KALS,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
260,10273,ALT,SDWQ,"Alenquer, Brazil: Alenquer Airport"
261,10274,ALU,HCMA,"Alula, Somalia: Alula Airport"
262,10275,ALW,KALW,"Walla Walla, WA: Walla Walla Regional"
263,10276,ALX,KALX,"Alexander City, AL: Thomas C. Russell Field"
264,10277,ALY,HEAX,"Alexandria, Egypt: Alexandria International"
266,10279,AMA,KAMA,"Amarillo, TX: Rick Husband Amarillo International"
269,10283,AMH,HAAM,"Arba Minch, Ethiopia: Arba Minch Airport"
270,10284,AMI,WADA,"Mataram, Indonesia: Selaparang"
271,10285,AMK,K00C,"Durango, CO: Animas Air Park"
273,10287,AMM,OJAI,"Amman, Jordan: Queen Alia International"
274,10288,AMN,KAMN,"Alma, MI: Gratiot Community"
275,10289,AMO,FTTU,"Mao, Chad: Mao Airport"
276,10290,AMP,FMSY,"Ampanihy, Madagascar: Ampanihy Airport"
277,10291,AMQ,WAPP,"Ambon, Indonesia: Pattimura"
278,10292,AMS,EHAM,"Amsterdam, Netherlands: Schiphol"
279,10294,AMW,KAMW,"Ames, IA: Ames Municipal"
280,10295,AMX,YAMM,"Ammaroo, Australia: Ammaroo Station"
283,10298,ANB,KANB,"Anniston, AL: Anniston Regional"
284,10299,ANC,PANC,"Anchorage, AK: Ted Stevens Anchorage International"
285,10300,AND,KAND,"Anderson, SC: Anderson Regional"
286,10301,ANE,LFJR,"Angers, France: Angers Marce"
287,10302,ANF,SCFA,"Antofagasta, Chile: Andres Sabella International"
288,10303,ANG,LFBU,"Angouleme, France: Angouleme Brie Champniers"
289,10304,ANI,PANI,"Aniak, AK: Aniak Airport"
290,10305,ANK,LTAD,"Ankara, Turkey: Etimesgut"
291,10306,ANM,FMNH,"Antalaha, Madagascar: Antsirabato"
292,10307,ANN,PANT,"Annette, AK: Annette Island"
