date,hourly_visibility
2018-01-01,10.0
2018-01-02,10.0
2018-01-03,10.0
2018-01-04,0.402
2018-01-05,10.0
2018-01-06,10.0
2018-01-07,10.0
2018-01-08,10.0
2018-01-09,10.0
2018-01-10,10.0
2018-01-11,9.656
2018-01-12,0.001
2018-01-13,1.207
2018-01-14,10.0
2018-01-15,10.0
2018-01-16,10.0
2018-01-17,1.609
2018-01-18,10.0
2018-01-19,10.0
2018-01-20,10.0
2018-01-21,10.0
2018-01-22,0.201
2018-01-23,0.001
2018-01-24,10.0
2018-01-25,10.0
2018-01-26,10.0
2018-01-27,10.0
2018-01-28,10.0
2018-01-29,10.0
2018-01-30,3.219
2018-01-31,10.0
2018-02-01,10.0
2018-02-02,9.656
2018-02-03,10.0
2018-02-04,1.609
2018-02-05,10.0
2018-02-06,10.0
2018-02-07,3.219
2018-02-08,10.0
2018-02-09,10.0
2018-02-10,2.414
2018-02-11,0.402
2018-02-12,4.828
2018-02-13,10.0
2018-02-14,10.0
2018-02-15,8.047
2018-02-16,10.0
2018-02-17,0.805
2018-02-18,1.609
2018-02-19,0.402
2018-02-20,0.805
2018-02-21,0.001
2018-02-22,3.219
2018-02-23,0.805
2018-02-24,8.047
2018-02-25,3.219
2018-02-26,10.0
2018-02-27,10.0
2018-02-28,10.0
2018-03-01,8.047
2018-03-02,4.828
2018-03-03,10.0
2018-03-04,10.0
2018-03-05,10.0
2018-03-06,10.0
2018-03-07,0.402
2018-03-08,10.0
2018-03-09,10.0
2018-03-10,10.0
2018-03-11,10.0
2018-03-12,10.0
2018-03-13,1.207
2018-03-14,3.219
2018-03-15,10.0
2018-03-16,10.0
2018-03-17,10.0
2018-03-18,10.0
2018-03-19,10.0
2018-03-20,10.0
2018-03-21,0.805
2018-03-22,0.805
2018-03-23,10.0
2018-03-24,10.0
2018-03-25,10.0
2018-03-26,10.0
2018-03-27,10.0
2018-03-28,10.0
2018-03-29,0.805
2018-03-30,4.828
2018-03-31,10.0
2018-04-01,10.0
2018-04-02,0.402
2018-04-03,0.805
2018-04-04,0.001
2018-04-05,10.0
2018-04-06,8.047
2018-04-07,10.0
2018-04-08,10.0
2018-04-09,10.0
2018-04-10,9.656
2018-04-11,10.0
2018-04-12,10.0
2018-04-13,10.0
2018-04-14,10.0
2018-04-15,4.828
2018-04-16,2.414
2018-04-17,10.0
2018-04-18,10.0
2018-04-19,9.656
2018-04-20,10.0
2018-04-21,10.0
2018-04-22,10.0
2018-04-23,10.0
2018-04-24,10.0
2018-04-25,0.402
2018-04-26,1.207
2018-04-27,1.609
2018-04-28,8.047
2018-04-29,8.047
2018-04-30,10.0
2018-05-01,10.0
2018-05-02,10.0
2018-05-03,10.0
2018-05-04,10.0
2018-05-05,10.0
2018-05-06,10.0
2018-05-07,10.0
2018-05-08,10.0
2018-05-09,10.0
2018-05-10,10.0
2018-05-11,10.0
2018-05-12,8.047
2018-05-13,8.047
2018-05-14,1.609
2018-05-15,0.201
2018-05-16,0.201
2018-05-17,0.201
2018-05-18,8.047
2018-05-19,0.402
2018-05-20,0.402
2018-05-21,10.0
2018-05-22,4.828
2018-05-23,3.219
2018-05-24,10.0
2018-05-25,10.0
2018-05-26,10.0
2018-05-27,3.219
2018-05-28,10.0
2018-05-29,9.656
2018-05-30,0.201
2018-05-31,0.201
2018-06-01,0.201
2018-06-02,10.0
2018-06-03,1.609
2018-06-04,1.609
2018-06-05,10.0
2018-06-06,10.0
2018-06-07,10.0
2018-06-08,10.0
2018-06-09,10.0
2018-06-10,10.0
2018-06-11,10.0
2018-06-12,10.0
2018-06-13,10.0
2018-06-14,10.0
2018-06-15,10.0
2018-06-16,10.0
2018-06-17,10.0
2018-06-18,10.0
2018-06-19,8.047
2018-06-20,10.0
2018-06-21,3.219
2018-06-22,9.656
2018-06-23,10.0
2018-06-24,4.828
2018-06-25,10.0
2018-06-26,10.0
2018-06-27,10.0
2018-06-28,3.219
2018-06-29,10.0
2018-06-30,10.0
2018-07-01,10.0
2018-07-02,10.0
2018-07-03,10.0
2018-07-04,8.047
2018-07-05,10.0
2018-07-06,10.0
2018-07-07,10.0
2018-07-08,10.0
2018-07-09,10.0
2018-07-10,10.0
2018-07-11,10.0
2018-07-12,8.047
2018-07-13,10.0
2018-07-14,6.437
2018-07-15,9.656
2018-07-16,10.0
2018-07-17,1.609
2018-07-18,10.0
2018-07-19,10.0
2018-07-20,10.0
2018-07-21,8.047
2018-07-22,9.656
2018-07-23,10.0
2018-07-24,10.0
2018-07-25,4.828
2018-07-26,10.0
2018-07-27,10.0
2018-07-28,10.0
2018-07-29,10.0
2018-07-30,10.0
2018-07-31,10.0
2018-08-01,10.0
2018-08-02,10.0
2018-08-03,10.0
2018-08-04,2.414
2018-08-05,10.0
2018-08-06,10.0
2018-08-07,10.0
2018-08-08,10.0
2018-08-09,10.0
2018-08-10,10.0
2018-08-11,3.219
2018-08-12,8.047
2018-08-13,4.828
2018-08-14,4.828
2018-08-15,10.0
2018-08-16,10.0
2018-08-17,10.0
2018-08-18,10.0
2018-08-19,10.0
2018-08-20,3.219
2018-08-21,10.0
2018-08-22,6.437
2018-08-23,10.0
2018-08-24,10.0
2018-08-25,10.0
2018-08-26,10.0
2018-08-27,10.0
2018-08-28,10.0
2018-08-29,10.0
2018-08-30,10.0
2018-08-31,10.0
2018-09-01,10.0
2018-09-02,10.0
2018-09-03,10.0
2018-09-04,10.0
2018-09-05,10.0
2018-09-06,8.047
2018-09-07,10.0
2018-09-08,10.0
2018-09-09,10.0
2018-09-10,3.219
2018-09-11,0.805
2018-09-12,0.402
2018-09-13,1.609
2018-09-14,10.0
2018-09-15,10.0
2018-09-16,10.0
2018-09-17,10.0
2018-09-18,1.207
2018-09-19,10.0
2018-09-20,10.0
2018-09-21,10.0
2018-09-22,10.0
2018-09-23,10.0
2018-09-24,10.0
2018-09-25,4.023
2018-09-26,2.414
2018-09-27,10.0
2018-09-28,2.816
2018-09-29,10.0
2018-09-30,10.0
2018-10-01,10.0
2018-10-02,4.828
2018-10-03,10.0
2018-10-04,10.0
2018-10-05,10.0
2018-10-06,3.219
2018-10-07,10.0
2018-10-08,4.828
2018-10-09,10.0
2018-10-10,10.0
2018-10-11,0.805
2018-10-12,4.828
2018-10-13,10.0
2018-10-14,10.0
2018-10-15,10.0
2018-10-16,10.0
2018-10-17,10.0
2018-10-18,10.0
2018-10-19,10.0
2018-10-20,10.0
2018-10-21,10.0
2018-10-22,10.0
2018-10-23,10.0
2018-10-24,10.0
2018-10-25,10.0
2018-10-26,10.0
2018-10-27,2.414
2018-10-28,1.609
2018-10-29,10.0
2018-10-30,10.0
2018-10-31,10.0
2018-11-01,10.0
2018-11-02,1.609
2018-11-03,10.0
2018-11-04,10.0
2018-11-05,2.816
2018-11-06,1.609
2018-11-07,10.0
2018-11-08,10.0
2018-11-09,4.023
2018-11-10,9.656
2018-11-11,10.0
2018-11-12,10.0
2018-11-13,0.805
2018-11-14,10.0
2018-11-15,0.402
2018-11-16,3.219
2018-11-17,10.0
2018-11-18,10.0
2018-11-19,9.656
2018-11-20,6.437
2018-11-21,10.0
2018-11-22,10.0
2018-11-23,10.0
2018-11-24,3.219
2018-11-25,6.437
2018-11-26,4.828
2018-11-27,10.0
2018-11-28,10.0
2018-11-29,10.0
2018-11-30,10.0
2018-12-01,10.0
2018-12-02,0.805
2018-12-03,4.828
2018-12-04,10.0
2018-12-05,10.0
2018-12-06,10.0
2018-12-07,10.0
2018-12-08,10.0
2018-12-09,10.0
2018-12-10,10.0
2018-12-11,10.0
2018-12-12,10.0
2018-12-13,6.437
2018-12-14,10.0
2018-12-15,0.805
2018-12-16,3.219
2018-12-17,10.0
2018-12-18,10.0
2018-12-19,10.0
2018-12-20,2.414
2018-12-21,0.805
2018-12-22,3.219
2018-12-23,10.0
2018-12-24,8.047
2018-12-25,10.0
2018-12-26,10.0
