,Code_x,Description,Code_y,City: Airport
0,10001,"Afognak Lake, AK: Afognak Lake Airport",01A,"Afognak Lake, AK: Afognak Lake Airport"
1,10003,"Granite Mountain, AK: Bear Creek Mining Strip",03A,"Granite Mountain, AK: Bear Creek Mining Strip"
2,10004,"Lik, AK: Lik Mining Camp",04A,"Lik, AK: Lik Mining Camp"
3,10005,"Little Squaw, AK: Little Squaw Airport",05A,"Little Squaw, AK: Little Squaw Airport"
4,10006,"Kizhuyak, AK: Kizhuyak Bay",06A,"Kizhuyak, AK: Kizhuyak Bay"
5,10007,"Klawock, AK: Klawock Seaplane Base",07A,"Klawock, AK: Klawock Seaplane Base"
6,10008,"Elizabeth Island, AK: Elizabeth Island Airport",08A,"Elizabeth Island, AK: Elizabeth Island Airport"
7,10009,"Homer, AK: Augustin Island",09A,"Homer, AK: Augustin Island"
8,10010,"Hudson, NY: Columbia County",1B1,"Hudson, NY: Columbia County"
9,10011,"Peach Springs, AZ: Grand Canyon West",1G4,"Peach Springs, AZ: Grand Canyon West"
10,10011,"Peach Springs, AZ: Grand Canyon West",DQR,"Peach Springs, AZ: Grand Canyon West"
11,11398,"Peach Springs, AZ: Grand Canyon West",1G4,"Peach Springs, AZ: Grand Canyon West"
12,11398,"Peach Springs, AZ: Grand Canyon West",DQR,"Peach Springs, AZ: Grand Canyon West"
13,10012,"Blairstown, NJ: Blairstown Airport",1N7,"Blairstown, NJ: Blairstown Airport"
14,10013,"Crosbyton, TX: Crosbyton Municipal",8F3,"Crosbyton, TX: Crosbyton Municipal"
15,10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",A01,"Fairbanks/Ft. Wainwright, AK: Blair Lake"
16,10015,"Deadmans Bay, AK: Deadmans Bay Airport",A02,"Deadmans Bay, AK: Deadmans Bay Airport"
17,10016,"Hallo Bay, AK: Hallo Bay Airport",A03,"Hallo Bay, AK: Hallo Bay Airport"
18,10017,"Red Lake, AK: Red Lake Airport",A04,"Red Lake, AK: Red Lake Airport"
19,10018,"Shell Lake, AK: Shell Lake Airport",A05,"Shell Lake, AK: Shell Lake Airport"
20,10019,"Kougarok, AK: Navigator Airstrip",A06,"Kougarok, AK: Navigator Airstrip"
21,10020,"Selawik, AK: Roland Norton Memorial",A07,"Selawik, AK: Roland Norton Memorial"
22,10021,"Pillar Bay, AK: Pillar Bay Airport",A08,"Pillar Bay, AK: Pillar Bay Airport"
23,10022,"Johnstone Point, AK: Johnstone Point Airport",A09,"Johnstone Point, AK: Johnstone Point Airport"
24,10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",KTH,"Tikchik Lodge, AK: Tikchik Lodge Airport"
25,10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",TLK,"Tikchik Lodge, AK: Tikchik Lodge Airport"
26,10024,"Bell Creek, AK: Bell Creek Airport",A11,"Bell Creek, AK: Bell Creek Airport"
27,10025,"Cinnabar, AK: Cinnabar Airport",A12,"Cinnabar, AK: Cinnabar Airport"
28,10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",A13,"Mountaintop Mine, AK: Mountaintop Mine Airport"
29,10027,"Whitebear, AK: Whitebear Airport",A14,"Whitebear, AK: Whitebear Airport"
30,10028,"Puviaq, AK: Puviaq Airport",A15,"Puviaq, AK: Puviaq Airport"
31,10029,"Arley Lake, AK: Arley Lake Airport",A16,"Arley Lake, AK: Arley Lake Airport"
32,10030,"Port Vita, AK: Port Vita Airport",A17,"Port Vita, AK: Port Vita Airport"
33,10031,"Kantishna, AK: Kantishna Airport",A18,"Kantishna, AK: Kantishna Airport"
34,10033,"Alpine, AK: Alpine Airstrip",A20,"Alpine, AK: Alpine Airstrip"
35,10033,"Alpine, AK: Alpine Airstrip",DQH,"Alpine, AK: Alpine Airstrip"
36,11388,"Alpine, AK: Alpine Airstrip",A20,"Alpine, AK: Alpine Airstrip"
37,11388,"Alpine, AK: Alpine Airstrip",DQH,"Alpine, AK: Alpine Airstrip"
38,10034,"Serpentine, AK: Serpentine Airport",A21,"Serpentine, AK: Serpentine Airport"
39,10035,"Driftwood Bay, AK: Driftwood Bay Airport",A22,"Driftwood Bay, AK: Driftwood Bay Airport"
40,10036,"Bradley Lake, AK: Bradley Lake Airport",A23,"Bradley Lake, AK: Bradley Lake Airport"
41,10037,"Chilkat Lake, AK: Chilkat Lake Airport",A24,"Chilkat Lake, AK: Chilkat Lake Airport"
42,10038,"Nugget Creek, AK: Nugget Creek Airport",A25,"Nugget Creek, AK: Nugget Creek Airport"
43,10039,"Ivotuk, AK: Ivotuk Airstrip",A26,"Ivotuk, AK: Ivotuk Airstrip"
44,10040,"Pogo Mines, AK: Pogo Mines Airport",A27,"Pogo Mines, AK: Pogo Mines Airport"
45,10041,"Ayakulik River, AK: Ayakulik River Airport",A28,"Ayakulik River, AK: Ayakulik River Airport"
46,10042,"Kiluda Bay, AK: Kiluda Bay Airport",A29,"Kiluda Bay, AK: Kiluda Bay Airport"
47,10043,"Terror Lake, AK: Terror Lake Airport",A30,"Terror Lake, AK: Terror Lake Airport"
48,10044,"Selief Bay, AK: Selief Bay Airport",A31,"Selief Bay, AK: Selief Bay Airport"
49,10047,"Laura Lake, AK: Laura Lake Airport",A34,"Laura Lake, AK: Laura Lake Airport"
50,10049,"Deep Bay, AK: Deep Bay Airport",A36,"Deep Bay, AK: Deep Bay Airport"
51,10050,"Kako, AK: Kako Airport",A37,"Kako, AK: Kako Airport"
52,10051,"Molly Creek, AK: Molly Creek Airport",A38,"Molly Creek, AK: Molly Creek Airport"
53,10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",A39,"Ptarmigan Lake, AK: Ptarmigan Lake Airport"
54,10053,"Cape Simpson, AK: Cape Simpson Airport",A40,"Cape Simpson, AK: Cape Simpson Airport"
55,10054,"Kogru River, AK: Kogru River Airport",A41,"Kogru River, AK: Kogru River Airport"
56,10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",A42,"Teshepkuk Lake, AK: Teshepkuk Lake Airport"
57,10056,"Kodiak Island, AK: Trident Basin Seaplane Base",A43,"Kodiak Island, AK: Trident Basin Seaplane Base"
58,10058,"Lake Florence, AK: Lake Florence Airport",A45,"Lake Florence, AK: Lake Florence Airport"
59,10059,"Lake Hasselborg, AK: Lake Hasselborg Airport",A46,"Lake Hasselborg, AK: Lake Hasselborg Airport"
60,10060,"Distin Lake, AK: Distin Lake Airport",A47,"Distin Lake, AK: Distin Lake Airport"
61,10061,"Port Hobron, AK: Port Hobron Airport",A48,"Port Hobron, AK: Port Hobron Airport"
62,10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",A49,"Mooseville Airstrip, AK: Mooseville Airstrip Airport"
63,10063,"Big Bay, AK: Big Bay Airport",A50,"Big Bay, AK: Big Bay Airport"
64,10064,"Wien Lake, AK: Wien Lake Airport",A51,"Wien Lake, AK: Wien Lake Airport"
